Neighborhood,Latitude,Longitude,City,1th Most Common Venues,2th Most Common Venues,3th Most Common Venues,4th Most Common Venues,5th Most Common Venues,6th Most Common Venues,7th Most Common Venues,8th Most Common Venues,9th Most Common Venues,10th Most Common Venues,Cluster
Lighthouse Hill,40.57650629379489,-74.13792663771568,NYC,Italian Restaurant,Café,Trail,Art Museum,Spa,Food Court,Farmers Market,Escape Room,Fountain,Ethiopian Restaurant,2
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493,Toronto,Light Rail Station,Coffee Shop,American Restaurant,Bank,Bagel Shop,Sushi Restaurant,Vietnamese Restaurant,Pizza Place,Farm,Falafel Restaurant,2
"Runnymede, Swansea",43.6515706,-79.4844499,Toronto,Pizza Place,Café,Coffee Shop,Sushi Restaurant,Italian Restaurant,Pub,Diner,Gourmet Shop,Latin American Restaurant,Indie Movie Theater,2
Malba,40.79060155670148,-73.82667757138641,NYC,Tennis Court,Rest Area,Bus Line,Yoga Studio,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,2
Park Slope,40.67232052268197,-73.97705030183924,NYC,Coffee Shop,Thai Restaurant,Japanese Restaurant,Bagel Shop,Bakery,Burger Joint,Spa,Pizza Place,Mexican Restaurant,Organic Grocery,2
Fort Greene,40.68852726018977,-73.97290574369092,NYC,Italian Restaurant,Restaurant,Theater,French Restaurant,Grocery Store,Cocktail Bar,Coffee Shop,Opera House,Pizza Place,Wine Bar,2
Gowanus,40.673931143187154,-73.99444087145339,NYC,Italian Restaurant,Bar,Pizza Place,Coffee Shop,Chinese Restaurant,Furniture / Home Store,Art Gallery,Athletics & Sports,Other Repair Shop,Hardware Store,2
Red Hook,40.676253230250886,-74.0127589747356,NYC,Park,Seafood Restaurant,Art Gallery,Brewery,Flower Shop,Pub,Bar,Furniture / Home Store,American Restaurant,Bakery,2
City Island,40.84724670491813,-73.78648845267413,NYC,Seafood Restaurant,Thrift / Vintage Store,Italian Restaurant,Café,Baseball Field,Bar,Bank,Harbor / Marina,Sandwich Place,Pharmacy,2
Cobble Hill,40.687919722485574,-73.99856139218463,NYC,Cocktail Bar,Pizza Place,Italian Restaurant,Bakery,Bar,Coffee Shop,Thai Restaurant,Deli / Bodega,Dive Bar,French Restaurant,2
Crown Heights,40.67082917695294,-73.94329119073582,NYC,Pizza Place,Museum,Café,Bakery,Doctor's Office,Candy Store,Coffee Shop,Kosher Restaurant,Playground,Salon / Barbershop,2
Windsor Terrace,40.65694583575104,-73.98007340430172,NYC,Plaza,Park,Deli / Bodega,Diner,Italian Restaurant,Bakery,Bar,Shipping Store,Chinese Restaurant,Grocery Store,2
Brooklyn Heights,40.695863722724084,-73.99378225496424,NYC,Deli / Bodega,Yoga Studio,Pizza Place,Italian Restaurant,Park,Bar,Chinese Restaurant,Cosmetics Shop,Pharmacy,Diner,2
Carroll Gardens,40.680540231076485,-73.99465372828006,NYC,Italian Restaurant,Coffee Shop,Pizza Place,Bakery,Bar,Cocktail Bar,Bank,Wine Shop,Spa,Food & Drink Shop,2
Prospect Heights,40.676822262254724,-73.9648592426269,NYC,Bar,Mexican Restaurant,Cocktail Bar,Ice Cream Shop,New American Restaurant,Beer Bar,Southern / Soul Food Restaurant,Café,Coffee Shop,Restaurant,2
Bedford Stuyvesant,40.687231607720456,-73.94178488690297,NYC,Bar,Café,Coffee Shop,Pizza Place,Italian Restaurant,Restaurant,Fried Chicken Joint,Boutique,Bus Stop,Gift Shop,2
Williamsburg,40.70714439344251,-73.95811529220927,NYC,Bar,Pizza Place,Coffee Shop,Latin American Restaurant,Yoga Studio,Gym,Steakhouse,Sandwich Place,Playground,Pet Store,2
Bushwick,40.69811611017901,-73.92525797487045,NYC,Bar,Coffee Shop,Mexican Restaurant,Discount Store,Deli / Bodega,Chinese Restaurant,Bakery,Pizza Place,Thrift / Vintage Store,Pharmacy,2
Todt Hill,40.59706851814673,-74.1113288180088,NYC,Trail,Park,Yoga Studio,Fast Food Restaurant,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,3
Lawrence Park,43.7280205,-79.3887901,Toronto,Business Service,Swim School,Park,Bus Line,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,3
Clason Point,40.80655112003589,-73.85414416189266,NYC,Park,Pool,Playground,Grocery Store,Convenience Store,Boat or Ferry,Bus Stop,Scenic Lookout,South American Restaurant,Yoga Studio,3
Somerville,40.59771061565768,-73.79664750844047,NYC,Park,Yoga Studio,Fried Chicken Joint,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,3
The Danforth  East,43.685347,-79.3381065,Toronto,Convenience Store,Park,Yoga Studio,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,3
Butler Manor,40.50608165346305,-74.22950350260027,NYC,Baseball Field,Pool,Gas Station,Bus Stop,Yoga Studio,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Exhibit,4
Sandy Ground,40.541139922091766,-74.21776636068567,NYC,Intersection,Bus Stop,Art Gallery,Food Truck,Racetrack,Playground,Fish & Chips Shop,Historic Site,Factory,Farmers Market,4
Neponsit,40.572036730217015,-73.85754672410827,NYC,Beach,Yoga Studio,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,4
Willowbrook,40.60370692627371,-74.13208447484298,NYC,Bus Stop,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,Farm,4
Hammels,40.58733774018741,-73.80553002968718,NYC,Beach,Fried Chicken Joint,Diner,Gym / Fitness Center,Shoe Store,Fast Food Restaurant,Dog Run,Bus Station,Bus Stop,Food Truck,4
Arden Heights,40.54928582278321,-74.18588674583893,NYC,Pharmacy,Coffee Shop,Pizza Place,Bus Stop,Fast Food Restaurant,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,4
Tottenville,40.50533376115642,-74.24656934235283,NYC,Italian Restaurant,Deli / Bodega,Thrift / Vintage Store,Mexican Restaurant,Food,Bus Stop,Cosmetics Shop,Food Court,Food Stand,Ethiopian Restaurant,4
Breezy Point,40.55740128845452,-73.92551196994168,NYC,Beach,Trail,Food Truck,Monument / Landmark,Bus Stop,Yoga Studio,Field,Ethiopian Restaurant,Event Service,Event Space,4
Bloomfield,40.60577868452358,-74.18725638381567,NYC,Recreation Center,Burger Joint,Theme Park,Bus Stop,Food Stand,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,4
South Beach,40.58024741350956,-74.0795529253982,NYC,Pier,Beach,Deli / Bodega,Theme Park,Athletics & Sports,Bus Stop,Yoga Studio,Fast Food Restaurant,Ethiopian Restaurant,Event Service,4
New Brighton,40.64061455913511,-74.08701650516625,NYC,Bus Stop,Deli / Bodega,Park,Discount Store,Bowling Alley,Daycare,Bridal Shop,Playground,Filipino Restaurant,Field,4
Fox Hills,40.61731079252983,-74.08173992211962,NYC,Chinese Restaurant,Grocery Store,Sandwich Place,Bus Stop,Fast Food Restaurant,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,4
Mill Island,40.606336421685626,-73.90818571777423,NYC,Pool,Locksmith,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,4
Park Hill,40.60919044434558,-74.08015734936296,NYC,Athletics & Sports,Bus Stop,Coffee Shop,Park,Hotel,Yoga Studio,Fast Food Restaurant,Escape Room,Ethiopian Restaurant,Event Service,4
Manhattan Beach,40.57791350308657,-73.94353722891886,NYC,Harbor / Marina,Ice Cream Shop,Café,Pizza Place,Bus Stop,Beach,Sandwich Place,Playground,Food,Event Service,4
Grasmere,40.59826835959991,-74.0766743627905,NYC,Bus Stop,Bank,Bagel Shop,Italian Restaurant,Restaurant,Bakery,Park,Grocery Store,Pharmacy,Pizza Place,4
Midland Beach,40.57352690574283,-74.09348266303591,NYC,Beach,Chinese Restaurant,Bookstore,Russian Restaurant,Bus Stop,Liquor Store,Restaurant,Pet Store,Deli / Bodega,Event Space,4
Graniteville,40.620171512231884,-74.15315246387762,NYC,Bus Stop,Boat or Ferry,Grocery Store,Fish & Chips Shop,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,Falafel Restaurant,4
Randall Manor,40.63563000681151,-74.09805062373887,NYC,Bagel Shop,Pizza Place,Beach,Bus Stop,Yoga Studio,Field,Ethiopian Restaurant,Event Service,Event Space,Exhibit,4
Arlington,40.63532509911492,-74.16510420241124,NYC,American Restaurant,Bus Stop,Intersection,Deli / Bodega,Boat or Ferry,Coffee Shop,Yoga Studio,Field,Fast Food Restaurant,Farmers Market,4
Port Richmond,40.63366930554365,-74.12943426797008,NYC,Bus Stop,Rental Car Location,Food Truck,Martial Arts School,Field,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,4
Old Town,40.59632891379513,-74.08751118005578,NYC,Italian Restaurant,Pizza Place,Mattress Store,Bakery,Deli / Bodega,Donut Shop,Pharmacy,Liquor Store,Gas Station,American Restaurant,5
Dongan Hills,40.588672948199275,-74.09639905312521,NYC,Pizza Place,Italian Restaurant,Sushi Restaurant,Bank,Chinese Restaurant,Basketball Court,Smoke Shop,Pharmacy,Sandwich Place,Pilates Studio,5
Pleasant Plains,40.524699376118136,-74.21983106616777,NYC,Donut Shop,Yoga Studio,Toll Plaza,Flower Shop,Fast Food Restaurant,Dry Cleaner,Pizza Place,Discount Store,Deli / Bodega,Rental Car Location,5
Huguenot,40.531911920489605,-74.19174105747814,NYC,Italian Restaurant,Deli / Bodega,Asian Restaurant,Train Station,Ice Cream Shop,Donut Shop,Bank,Sandwich Place,Event Space,Event Service,5
Ditmas Park,40.643675183340974,-73.96101312466779,NYC,Deli / Bodega,Clothing Store,Chinese Restaurant,Food Truck,Pharmacy,Department Store,Caribbean Restaurant,Burger Joint,Donut Shop,Gym / Fitness Center,5
Wingate,40.66094656188111,-73.93718680559314,NYC,Fried Chicken Joint,Fish & Chips Shop,Bakery,Grocery Store,Park,BBQ Joint,Health & Beauty Service,Pharmacy,Liquor Store,Sandwich Place,5
New Dorp Beach,40.56425549307335,-74.10432707469124,NYC,Italian Restaurant,Deli / Bodega,Skating Rink,Diner,Sports Bar,Beach,Restaurant,Food,Construction & Landscaping,Scenic Lookout,5
Grant City,40.57621558711788,-74.10585598545434,NYC,Pizza Place,Bus Stop,Convenience Store,Health & Beauty Service,Dessert Shop,Fast Food Restaurant,Asian Restaurant,Mexican Restaurant,Grocery Store,American Restaurant,5
Rugby,40.655572313280764,-73.92688212616955,NYC,Bank,Caribbean Restaurant,Diner,Grocery Store,Chinese Restaurant,Beach,Seafood Restaurant,Pharmacy,Sandwich Place,Mobile Phone Shop,5
Arrochar,40.596312571276734,-74.06712363225574,NYC,Italian Restaurant,Pizza Place,Bus Stop,Sandwich Place,Athletics & Sports,Middle Eastern Restaurant,Liquor Store,Hotel,Outdoors & Recreation,Food Truck,5
Westerleigh,40.62109047275409,-74.13304143951704,NYC,Arcade,Bank,Sushi Restaurant,Convenience Store,Dive Bar,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Exhibit,5
Mill Basin,40.61597423962336,-73.91515391550404,NYC,Chinese Restaurant,Bank,Pizza Place,Pharmacy,Japanese Restaurant,Food Truck,Bakery,Grocery Store,Middle Eastern Restaurant,Sushi Restaurant,5
Greenridge,40.555295236173194,-74.17079414786092,NYC,Pet Store,Professional & Other Places,Pizza Place,Lawyer,Diner,Bagel Shop,Food,Food Stand,Empanada Restaurant,English Restaurant,5
Manor Heights,40.60180957631444,-74.12059399718001,NYC,Deli / Bodega,Donut Shop,Liquor Store,Food,Bagel Shop,Chinese Restaurant,Sushi Restaurant,Pizza Place,Pharmacy,American Restaurant,5
Broadway Junction,40.67786104769531,-73.90331684852599,NYC,Donut Shop,Fried Chicken Joint,Gas Station,Breakfast Spot,Burger Joint,Tunnel,Sandwich Place,Diner,Bus Station,Ice Cream Shop,5
Roxbury,40.56737588957032,-73.89213760232822,NYC,Irish Pub,Trail,Deli / Bodega,Baseball Field,Beach,Fast Food Restaurant,Field,Ethiopian Restaurant,Event Service,Event Space,5
Homecrest,40.598525095137255,-73.95918459428702,NYC,Bank,Chinese Restaurant,Donut Shop,Sushi Restaurant,Vietnamese Restaurant,Russian Restaurant,Sandwich Place,Grocery Store,Mexican Restaurant,Falafel Restaurant,5
Middle Village,40.716414511158185,-73.88114319200604,NYC,Italian Restaurant,Dessert Shop,Bakery,Park,Pharmacy,Sandwich Place,South American Restaurant,Mobile Phone Shop,Thrift / Vintage Store,Farmers Market,5
Prince's Bay,40.52626406734812,-74.20152556457658,NYC,Bagel Shop,Pet Store,Coffee Shop,Liquor Store,Pizza Place,Pharmacy,Bank,Sushi Restaurant,Chinese Restaurant,English Restaurant,5
Richmond Valley,40.51954145748909,-74.22957080626941,NYC,Fast Food Restaurant,Bank,Smoothie Shop,Food,Deli / Bodega,Train Station,Mexican Restaurant,Sandwich Place,Farm,Escape Room,5
Highland Park,40.6819989345173,-73.890345709872,NYC,Grocery Store,Deli / Bodega,Fried Chicken Joint,Garden,Park,Metro Station,Liquor Store,Tennis Court,Pizza Place,Latin American Restaurant,5
Madison,40.60937770113766,-73.94841515328893,NYC,Bagel Shop,Restaurant,Candy Store,Pilates Studio,Hobby Shop,Pizza Place,Spa,Dessert Shop,Italian Restaurant,Deli / Bodega,5
Bronxdale,40.85272297633017,-73.86172577555115,NYC,Italian Restaurant,Pizza Place,Spanish Restaurant,Gym,Bank,Performing Arts Venue,Breakfast Spot,Chinese Restaurant,Department Store,Field,5
Allerton,40.86578787802982,-73.85931863221647,NYC,Pizza Place,Deli / Bodega,Bakery,Chinese Restaurant,Supermarket,Discount Store,Electronics Store,Spa,Pharmacy,Donut Shop,5
Kingsbridge Heights,40.8703923914147,-73.90152264513144,NYC,Pizza Place,Chinese Restaurant,Park,Food Truck,Mexican Restaurant,Bus Station,Coffee Shop,Café,Restaurant,Salon / Barbershop,5
Erasmus,40.64692606658579,-73.94817709920184,NYC,Caribbean Restaurant,Grocery Store,Pharmacy,Pizza Place,Mobile Phone Shop,Sandwich Place,Liquor Store,Gas Station,Playground,Fast Food Restaurant,5
Rossville,40.54940400650072,-74.21572851113952,NYC,Pizza Place,Bagel Shop,Chinese Restaurant,Dry Cleaner,Donut Shop,Liquor Store,Moving Target,American Restaurant,Grocery Store,Ice Cream Shop,5
Blissville,40.73725071694497,-73.93244235260178,NYC,Donut Shop,Bus Station,Deli / Bodega,Mattress Store,Hotel,Bar,Clothing Store,Movie Theater,Sporting Goods Shop,Restaurant,5
Mount Eden,40.84382617671654,-73.91655551964419,NYC,Pharmacy,Fast Food Restaurant,Bar,Food Truck,Pizza Place,Supermarket,Fried Chicken Joint,Seafood Restaurant,Mobile Phone Shop,Sandwich Place,5
Concourse Village,40.824780490842905,-73.91584652759009,NYC,Bus Station,Sandwich Place,Convenience Store,Fried Chicken Joint,Deli / Bodega,Mexican Restaurant,Pharmacy,Supermarket,Chinese Restaurant,Mobile Phone Shop,5
Claremont Village,40.83142834161548,-73.90119903387667,NYC,Chinese Restaurant,Grocery Store,Bakery,Bus Station,Fried Chicken Joint,Pharmacy,Caribbean Restaurant,Discount Store,Liquor Store,Gym,5
Astoria Heights,40.7703173929982,-73.89467996270574,NYC,Italian Restaurant,Hostel,Playground,Pizza Place,Bus Station,Burger Joint,Bowling Alley,Museum,Bakery,Supermarket,5
Utopia,40.73350025429757,-73.79671678028349,NYC,Deli / Bodega,Automotive Shop,Ice Cream Shop,Playground,South American Restaurant,Spa,Donut Shop,History Museum,Pizza Place,Indie Movie Theater,5
Jamaica Hills,40.71145964370482,-73.79646462081593,NYC,Chinese Restaurant,Pharmacy,Donut Shop,Indian Restaurant,Grocery Store,Sandwich Place,Southern / Soul Food Restaurant,Fast Food Restaurant,Bus Station,Playground,5
New Lots,40.6627442796966,-73.88511776379292,NYC,Grocery Store,Pizza Place,Fried Chicken Joint,Discount Store,Chinese Restaurant,Metro Station,Pharmacy,Asian Restaurant,Salon / Barbershop,Playground,5
Remsen Village,40.652117451793494,-73.91665331978048,NYC,Caribbean Restaurant,Supermarket,Library,Fast Food Restaurant,Fried Chicken Joint,Bus Stop,Gym,Donut Shop,Sandwich Place,Gas Station,5
Elm Park,40.630146741193826,-74.1418167896889,NYC,Deli / Bodega,Italian Restaurant,Bus Stop,Pizza Place,American Restaurant,Gas Station,Ice Cream Shop,Exhibit,Event Space,Field,5
Clifton,40.61917845202843,-74.072642445484,NYC,Grocery Store,Train Station,Intersection,Pizza Place,Museum,Taco Place,Bus Stop,Mobile Phone Shop,Cajun / Creole Restaurant,Mexican Restaurant,5
Shore Acres,40.60971934079284,-74.06667766061771,NYC,Italian Restaurant,Bus Stop,Deli / Bodega,Bar,Intersection,Furniture / Home Store,Pizza Place,Nail Salon,Music Store,Gastropub,5
Bulls Head,40.6095918004203,-74.15940948657122,NYC,Chinese Restaurant,Bus Stop,Sandwich Place,Pizza Place,Video Store,Pharmacy,Ice Cream Shop,Café,Supermarket,Coffee Shop,5
Heartland Village,40.58913894875281,-74.15902208156601,NYC,Pizza Place,Spa,Liquor Store,Coffee Shop,Donut Shop,Optical Shop,Restaurant,Pharmacy,Food Truck,Event Service,5
Mount Hope,40.84884160724665,-73.90829930881988,NYC,Supermarket,Video Game Store,Bus Station,Mobile Phone Shop,Metro Station,Grocery Store,Donut Shop,Sandwich Place,Pizza Place,Food Truck,5
Woodrow,40.541967622888755,-74.20524582480326,NYC,Pharmacy,Bagel Shop,Sushi Restaurant,Bank,Bakery,Gym,Grocery Store,Mexican Restaurant,Liquor Store,Coffee Shop,5
Wakefield,40.89470517661,-73.84720052054902,NYC,Pharmacy,Laundromat,Caribbean Restaurant,Dessert Shop,Donut Shop,Deli / Bodega,Ice Cream Shop,Sandwich Place,Event Service,Farmers Market,5
Eltingville,40.542230747450745,-74.1643308041936,NYC,Sushi Restaurant,Pizza Place,Italian Restaurant,Fast Food Restaurant,Bank,Pet Store,Sandwich Place,Gourmet Shop,Martial Arts School,Bar,5
Castle Hill,40.819014376988314,-73.84802729582735,NYC,Market,Bank,Pharmacy,Park,Diner,Bus Station,Pizza Place,Farmers Market,Escape Room,Ethiopian Restaurant,5
Olinville,40.87137078192371,-73.86332361652777,NYC,Supermarket,Fried Chicken Joint,Metro Station,Home Service,Food,Deli / Bodega,Caribbean Restaurant,Laundromat,Event Space,Fast Food Restaurant,5
Pelham Gardens,40.86296562477998,-73.84161194831223,NYC,Chinese Restaurant,Pharmacy,Bus Station,Pizza Place,Boat or Ferry,Bank,Liquor Store,Sandwich Place,Donut Shop,Baseball Field,5
Concourse,40.83428380733851,-73.91558941773444,NYC,Grocery Store,Fried Chicken Joint,Bakery,Food,Donut Shop,Art Museum,Pharmacy,Pizza Place,Track,Clothing Store,5
Unionport,40.82977429787161,-73.85053524451935,NYC,Latin American Restaurant,Donut Shop,Deli / Bodega,Ice Cream Shop,Comfort Food Restaurant,Seafood Restaurant,Mobile Phone Shop,Pizza Place,Fast Food Restaurant,Discount Store,5
Edenwald,40.88456130303732,-73.84808271877168,NYC,Supermarket,Athletics & Sports,Grocery Store,Sandwich Place,Empanada Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,Exhibit,5
Bensonhurst,40.61100890202044,-73.99517998380729,NYC,Chinese Restaurant,Sushi Restaurant,Grocery Store,Donut Shop,Asian Restaurant,Italian Restaurant,Ice Cream Shop,Record Shop,Pizza Place,Dance Studio,5
Sunset Park,40.64510294925429,-74.01031618527784,NYC,Mexican Restaurant,Mobile Phone Shop,Bank,Gym,Bakery,Pizza Place,Latin American Restaurant,Pharmacy,Deli / Bodega,Fried Chicken Joint,5
Gravesend,40.59526001306593,-73.97347087708445,NYC,Pizza Place,Lounge,Italian Restaurant,Breakfast Spot,Furniture / Home Store,Music Store,Fish Market,Gourmet Shop,Men's Store,Bar,5
Brighton Beach,40.57682506566604,-73.96509448785336,NYC,Russian Restaurant,Pharmacy,Restaurant,Gourmet Shop,Bank,Eastern European Restaurant,Donut Shop,Mobile Phone Shop,Sushi Restaurant,Beach,5
Manhattan Terrace,40.61443251335098,-73.95743840559939,NYC,Pizza Place,Bagel Shop,Donut Shop,Ice Cream Shop,Bank,Convenience Store,Restaurant,Mobile Phone Shop,Steakhouse,Japanese Restaurant,5
Flatbush,40.63632589026677,-73.95840106533903,NYC,Juice Bar,Coffee Shop,Sandwich Place,Mobile Phone Shop,Pizza Place,Fast Food Restaurant,Middle Eastern Restaurant,Pharmacy,Mexican Restaurant,Caribbean Restaurant,5
East Flatbush,40.64171776668961,-73.93610256185836,NYC,Chinese Restaurant,Caribbean Restaurant,Supermarket,Liquor Store,Fast Food Restaurant,Moving Target,Department Store,Pharmacy,Print Shop,Park,5
Kensington,40.642381958003526,-73.98042110559474,NYC,Thai Restaurant,Grocery Store,Playground,Spa,Donut Shop,Sandwich Place,Pharmacy,Liquor Store,Taco Place,Café,5
Brownsville,40.66394994339755,-73.91023536176607,NYC,Chinese Restaurant,Fried Chicken Joint,Moving Target,Restaurant,Park,Trail,Farmers Market,Pizza Place,Performing Arts Venue,Playground,5
Cypress Hills,40.68239101144211,-73.87661596457296,NYC,Fried Chicken Joint,Donut Shop,Metro Station,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Seafood Restaurant,Mobile Phone Shop,Latin American Restaurant,Liquor Store,5
East New York,40.669925700847045,-73.88069863917366,NYC,Chinese Restaurant,Event Service,Salon / Barbershop,Fast Food Restaurant,Asian Restaurant,Bus Station,Caribbean Restaurant,Pizza Place,Home Service,Pharmacy,5
Starrett City,40.64758905230874,-73.87936970045875,NYC,Pharmacy,River,Gym Pool,Donut Shop,Pizza Place,Bus Stop,American Restaurant,Discount Store,Convenience Store,Flea Market,5
Canarsie,40.63556432797428,-73.90209269778966,NYC,Deli / Bodega,Caribbean Restaurant,Food,Asian Restaurant,Bus Line,Gym,Grocery Store,Yoga Studio,Fast Food Restaurant,Event Service,5
Flatlands,40.630446043757466,-73.92911302644674,NYC,Pharmacy,Fried Chicken Joint,Caribbean Restaurant,Fast Food Restaurant,Paper / Office Supplies Store,Discount Store,Video Store,Dry Cleaner,Bar,Nightclub,5
Bath Beach,40.59951870282238,-73.99875221443519,NYC,Chinese Restaurant,Pharmacy,Donut Shop,Fast Food Restaurant,Pizza Place,Gas Station,Peruvian Restaurant,Coffee Shop,Park,Sandwich Place,5
Borough Park,40.633130512758015,-73.99049823044811,NYC,Bank,Fast Food Restaurant,Pharmacy,Pizza Place,American Restaurant,Chinese Restaurant,Men's Store,Coffee Shop,Grocery Store,Café,5
Gerritsen Beach,40.590848433902046,-73.93010170691196,NYC,Pizza Place,Bar,Ice Cream Shop,Harbor / Marina,Restaurant,Soccer Field,Café,Gas Station,Liquor Store,Seafood Restaurant,5
Marine Park,40.609747779894604,-73.93134404108497,NYC,Chinese Restaurant,Pharmacy,Athletics & Sports,Gym,Liquor Store,Home Service,Park,Basketball Court,Deli / Bodega,Baseball Field,5
Ocean Hill,40.678402554795355,-73.91306831787395,NYC,Deli / Bodega,Fried Chicken Joint,Bus Stop,Supermarket,Grocery Store,Southern / Soul Food Restaurant,Playground,Park,Chinese Restaurant,Mexican Restaurant,5
City Line,40.67856995727479,-73.86797598081334,NYC,Donut Shop,Pharmacy,Fried Chicken Joint,Mobile Phone Shop,Grocery Store,Cosmetics Shop,Food,Sandwich Place,Lingerie Store,Liquor Store,5
Midwood,40.62559589869843,-73.95759523489838,NYC,Pizza Place,Pharmacy,Deli / Bodega,Candy Store,Video Game Store,Ice Cream Shop,Bagel Shop,Convenience Store,Falafel Restaurant,Empanada Restaurant,5
Edgewater Park,40.821986118163494,-73.81388514428619,NYC,Italian Restaurant,Deli / Bodega,Coffee Shop,Pizza Place,Chinese Restaurant,Donut Shop,Ice Cream Shop,Park,Asian Restaurant,Juice Bar,5
Prospect Park South,40.647008603185185,-73.96261316716048,NYC,Clothing Store,Grocery Store,Fast Food Restaurant,Mobile Phone Shop,Fried Chicken Joint,Department Store,Donut Shop,Caribbean Restaurant,Pharmacy,Deli / Bodega,5
Schuylerville,40.82657951686922,-73.82620275994073,NYC,Diner,Pharmacy,Bank,Italian Restaurant,Hookah Bar,Convenience Store,Pizza Place,Sandwich Place,Donut Shop,Fast Food Restaurant,5
North Riverdale,40.90854282950666,-73.90453054908927,NYC,Pizza Place,Italian Restaurant,Bank,Liquor Store,Donut Shop,Sandwich Place,Coffee Shop,Chinese Restaurant,Bus Station,Burger Joint,5
Co-op City,40.87429419303012,-73.82993910812398,NYC,Bus Station,Fast Food Restaurant,Restaurant,Discount Store,Donut Shop,Optical Shop,Pizza Place,Post Office,Pharmacy,Trail,5
Eastchester,40.887555677350775,-73.82780644716412,NYC,Caribbean Restaurant,Bus Station,Diner,Deli / Bodega,Metro Station,Pizza Place,Seafood Restaurant,Platform,Bus Stop,Donut Shop,5
Fieldston,40.89543742690383,-73.90564259591682,NYC,Plaza,Music Venue,River,Bus Station,Yoga Studio,English Restaurant,Escape Room,Ethiopian Restaurant,Event Service,Event Space,5
Kingsbridge,40.88168737120521,-73.90281798724604,NYC,Pizza Place,Bar,Sandwich Place,Latin American Restaurant,Deli / Bodega,Mexican Restaurant,Shipping Store,Donut Shop,Bakery,Pharmacy,5
Marble Hill,40.87655077879964,-73.91065965862981,NYC,Sandwich Place,Yoga Studio,Discount Store,Gym,Bank,Bakery,Seafood Restaurant,Clothing Store,Donut Shop,Coffee Shop,5
Woodlawn,40.89827261213805,-73.86731496814176,NYC,Pub,Pizza Place,Food Truck,Playground,Food & Drink Shop,Deli / Bodega,Grocery Store,Park,Bakery,Liquor Store,5
Norwood,40.87722415599446,-73.8793907395681,NYC,Park,Pizza Place,Mobile Phone Shop,Bus Station,Pharmacy,Bank,Burger Joint,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,5
Williamsbridge,40.88103887819211,-73.85744642974207,NYC,Nightclub,Deli / Bodega,Bar,Caribbean Restaurant,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Factory,5
Baychester,40.866858107252696,-73.83579759808117,NYC,Donut Shop,Boat or Ferry,Sandwich Place,Doctor's Office,Mattress Store,Pizza Place,Mexican Restaurant,Arcade,Spanish Restaurant,Pet Store,5
Pelham Parkway,40.85741349808865,-73.85475564017999,NYC,Italian Restaurant,Frozen Yogurt Shop,Chinese Restaurant,Pizza Place,Sushi Restaurant,Bus Station,Gas Station,Gourmet Shop,Sandwich Place,Performing Arts Venue,5
Bedford Park,40.870185164975325,-73.8855121841913,NYC,Chinese Restaurant,Pizza Place,Diner,Deli / Bodega,Mexican Restaurant,Food Truck,Sandwich Place,Bus Station,Fried Chicken Joint,Spanish Restaurant,5
University Heights,40.85572707719664,-73.9104159619131,NYC,Pizza Place,Fast Food Restaurant,Cosmetics Shop,History Museum,Bakery,Bank,Mobile Phone Shop,Supermarket,Bus Station,Chinese Restaurant,5
Morris Heights,40.84789792606271,-73.91967159119565,NYC,Bus Station,Grocery Store,Chinese Restaurant,Park,Pharmacy,Mobile Phone Shop,Pizza Place,Spanish Restaurant,Fast Food Restaurant,Bank,5
Fordham,40.86099679638654,-73.89642655981623,NYC,Donut Shop,Mobile Phone Shop,Bank,Fast Food Restaurant,Chinese Restaurant,Shoe Store,Gym / Fitness Center,Spanish Restaurant,Supplement Shop,Clothing Store,5
East Tremont,40.84269615786053,-73.88735617532338,NYC,Pizza Place,Puerto Rican Restaurant,Restaurant,Supermarket,Spanish Restaurant,Mobile Phone Shop,Café,Smoke Shop,Bank,Donut Shop,5
